序号|股票代码|股票简称|研报数|机构投资评级(近六个月)-买入|机构投资评级(近六个月)-增持|机构投资评级(近六个月)-中性|机构投资评级(近六个月)-减持|机构投资评级(近六个月)-卖出|2024预测每股收益|2025预测每股收益|2026预测每股收益|2027预测每股收益
132|688608|恒玄科技|23|16.0|7.0|0.0|0.0|0.0|2.729624948668|5.081217391304|7.222217391304|9.700636363636
133|600941|中国移动|22|15.0|7.0|0.0|0.0|0.0|6.394142767264|6.446727272727|6.761318181818|7.079714285714
134|002230|科大讯飞|22|14.0|8.0|0.0|0.0|0.0|0.242317109015|0.384136363636|0.531863636364|0.692380952381
135|002027|分众传媒|22|17.0|5.0|0.0|0.0|0.0|0.356967375762|0.389|0.4345|0.472285714286
136|300487|蓝晓科技|22|18.0|4.0|0.0|0.0|0.0|1.550706326601|1.883|2.318227272727|2.823571428571
137|600872|中炬高新|22|15.0|7.0|0.0|0.0|0.0|1.147149558875|0.734|0.873130434783|0.996954545455
138|601898|中煤能源|22|16.0|6.0|0.0|0.0|0.0|1.457381895674|1.256363636364|1.351818181818|1.419523809524
139|601336|新华保险|22|17.0|5.0|0.0|0.0|0.0|8.407952617217|12.206470588235|12.768823529412|13.625882352941
140|002601|龙佰集团|22|14.0|8.0|0.0|0.0|0.0|0.909546857154|0.988181818182|1.291818181818|1.555714285714
141|002938|鹏鼎控股|22|15.0|7.0|0.0|0.0|0.0|1.561808332233|1.884090909091|2.363181818182|2.810952380952
142|300866|安克创新|22|18.0|4.0|0.0|0.0|0.0|3.943671613033|4.97|6.195217391304|7.679130434783
143|603529|爱玛科技|22|18.0|4.0|0.0|0.0|0.0|2.287267632788|2.807818181818|3.293818181818|3.834523809524
144|000526|学大教育|22|18.0|4.0|0.0|0.0|0.0|1.474509017311|2.083571428571|2.599047619048|3.155047619048
145|002850|科达利|22|17.0|5.0|0.0|0.0|0.0|5.375367588338|6.485772727273|8.088590909091|9.819476190476
146|600438|通威股份|22|11.0|11.0|0.0|0.0|0.0|-1.563476961829|-1.200347826087|0.587130434783|1.171863636364
147|601225|陕西煤业|22|20.0|2.0|0.0|0.0|0.0|2.306321460976|1.814545454545|1.980909090909|2.136666666667
